NUMBER, PARENT, DOCUMENT TYPE, DESCRIPTION, MATERIAL, QTY, UNITQTY, LG, WD
4005106,4003663,Assembly,"SPOOLER MOUNT/BRACKET","",1,,,
4003657,4003663,Assembly,"ROD","",2,,,
4003660,4003663,Assembly,"SPOOLER SIDE PLATE","",2,,,
4003669,4003663,Assembly,"SPROCKET 1, SPOOLER","",1,,,
4003674,4003663,Assembly,"SPROCKET 2, SPOOLER","",1,,,
4003807,4003663,Assembly,"SPOOLER DRIVE","",1,,,
4004920,4003663,Assembly,"COUNTER HEAD MOUNT","",1,,,
4005166,4003663,Assembly,"DRIP FEED LUBRICATOR MOUNT","",1,,,
06-0036,4003663,Assembly,"COUNTERHEAD ASSEMBLY","",1,,,
15-0346,4003663,Assembly,"DRIP FEED LUBRICATOR, 3/8 NPT, BRASS BOTTLE, PLEXIGLASS","",1,,,
14-0113,4003663,Assembly,"ROLLER CHAIN, NO. 40 SINGLE STRAND (APPROX. 148 LINKS)","",1,,,
14-0113,4003663,Assembly,"ROLLER CHAIN, NO. 40 SINGLE STRAND (APPROX. 114 LINKS)","",1,,,
-,4003663,Assembly,"BOLT, HEAVY HEX., 1/2-13 UNC x 1.75 LONG","",4,,,
-,4003663,Assembly,"BOLT, HEAVY HEX., 1/2-13 UNC x 1.5 LONG","",4,,,
-,4003663,Assembly,"BOLT, HEAVY HEX., 1/2-13 UNC x 1 LONG","",4,,,
-,4003663,Assembly,"FLAT WASHER, 1/2 - WIDE - Type A, Grade 8","",4,,,
-,4003663,Assembly,"FLAT WASHER, 1/2 - WIDE - Type B, Grade 8","",4,,,
-,4003663,Assembly,"FLAT WASHER, 1/2 - REGULAR - Type B, Grade 8","",8,,,
-,4003663,Assembly,"LOCK WASHER, 1/2, Grade 8","",12,,,
-,4003663,Assembly,"NUT, HEX., 1/2-13 UNC, Grade 8","",4,,,
-,4003663,Assembly,"BOLT, HEX., 3/8-16 UNC x 1.5 LONG, Grade 8","",2,,,
-,4003663,Assembly,"BOLT, HEX., 3/8-16 UNC x 1.25 LONG, Grade 8","",8,,,
-,4003663,Assembly,"BOLT, HEX., 3/8-16 UNC x 1 LONG, Grade 8","",4,,,
-,4003663,Assembly,"FLAT WASHER, 3/8 - NARROW - Type B, Grade 8","",24,,,
-,4003663,Assembly,"FLAT WASHER, 3/8 - WIDE - Type B, Grade 8","",2,,,
-,4003663,Assembly,"FLAT WASHER, 3/8 - REGULAR - Type B, Grade 8","",2,,,
-,4003663,Assembly,"LOCK WASHER, 3/8, Grade 8","",14,,,
-,4003663,Assembly,"NUT, HEX., 3/8-16 UNC, Grade 8","",14,,,
-,4003663,Assembly,"BOLT, HEX., 1/4-20 UNC x 1.5 LONG, Grade 8","",1,,,
-,4003663,Assembly,"FLAT WASHER, 1/4 - REGULAR - Type B, Grade 8","",1,,,
-,4003663,Assembly,"LOCK WASHER, 1/4, Grade 8","",1,,,
-,4003663,Assembly,"NUT, HEX., 1/4-20 UNC, Grade 8","",1,,,
